miRNA	Gene	Input
hsa-miR-548ay-5p	FEM1C	-1
hsa-miR-548ay-5p	RNF138	-1
hsa-miR-548ay-5p	SRP9	-1
hsa-miR-548ay-5p	MAST3	-1
hsa-miR-548ay-5p	S1PR1	-1
hsa-miR-548ay-5p	ARL6IP6	-1
hsa-miR-548ay-5p	TTC13	-1
hsa-miR-548ay-5p	LRRTM3	-1
hsa-miR-548ay-5p	MTA1	-1
hsa-miR-548ay-5p	HECA	-1
hsa-miR-548ay-5p	SCML2	-1
hsa-miR-548ay-5p	SAMD8	-1
hsa-miR-548ay-5p	ZBTB11	-1
hsa-miR-548ay-5p	PRKAA1	-1
hsa-miR-548ay-5p	ADAMTS1	-1
hsa-miR-548ay-5p	AFDN	-1
hsa-miR-6730-3p	MCF2	-1
hsa-miR-6730-3p	ZNF287	-1
hsa-miR-6730-3p	PPP2CA	-1
hsa-miR-6730-3p	TAPT1	-1
hsa-miR-6730-3p	C11orf53	-1
hsa-miR-6730-3p	BICD2	-1
hsa-miR-6730-3p	PHF21A	-1
hsa-miR-135a-2-3p	ATP23	-1
hsa-miR-135a-2-3p	ZNF138	-1
hsa-miR-135a-2-3p	CLDN20	-1
hsa-miR-135a-2-3p	ZNF99	-1
hsa-miR-135a-2-3p	KIF16B	-1
hsa-miR-6766-3p	LGALSL	-1
hsa-miR-6766-3p	RECK	-1
hsa-miR-6766-3p	ELMOD2	-1
hsa-miR-6766-3p	NR2C2	-1
hsa-miR-6766-3p	SLC16A7	-1
hsa-miR-6766-3p	GXYLT1	-1
hsa-miR-6766-3p	CGNL1	-1
hsa-miR-6766-3p	ROR1	-1
hsa-miR-6766-3p	FAM210B	-1
hsa-miR-6766-3p	SOX6	-1
hsa-miR-6766-3p	PCDH17	-1
hsa-miR-6766-3p	BICRAL	-1
hsa-miR-6766-3p	STRBP	-1
hsa-miR-6766-3p	ZBTB18	-1
hsa-miR-6766-3p	TSC22D2	-1
hsa-miR-6766-3p	MEF2D	-1
hsa-miR-6766-3p	KCNA4	-1
hsa-miR-6766-3p	CD164	-1
hsa-miR-6766-3p	PARD3	-1
hsa-miR-6766-3p	CLOCK	-1
hsa-miR-6766-3p	RASSF3	-1
hsa-miR-939-5p	CIB2	-1
hsa-miR-939-5p	NACC1	-1
hsa-miR-939-5p	SPINDOC	-1
hsa-miR-939-5p	ZNRF1	-1
hsa-miR-939-5p	NFASC	-1
hsa-miR-4789-3p	PLCXD1	-1
hsa-miR-4789-3p	DGKH	-1
hsa-miR-4789-3p	ZSWIM5	-1
hsa-miR-4789-3p	PGAP1	-1
hsa-miR-4789-3p	PLCB4	-1
hsa-miR-4789-3p	NR2C2	-1
hsa-miR-4789-3p	FUT9	-1
hsa-miR-4789-3p	LEMD3	-1
hsa-miR-4789-3p	RIMKLB	-1
hsa-miR-4789-3p	SLC30A5	-1
hsa-miR-4789-3p	ZNF670	-1
hsa-miR-4789-3p	SOX21	-1
hsa-miR-4789-3p	PHOSPHO2-KLHL23	-1
hsa-miR-4789-3p	RAB31	-1
hsa-miR-4789-3p	CAMSAP2	-1
hsa-miR-4789-3p	PDLIM5	-1
hsa-miR-4789-3p	PROX1	-1
hsa-miR-4789-3p	AQR	-1
hsa-miR-4789-3p	PCSK2	-1
hsa-miR-4789-3p	YRDC	-1
hsa-miR-4789-3p	CIAO2A	-1
hsa-miR-4789-3p	DCUN1D4	-1
hsa-miR-4789-3p	CNOT6L	-1
hsa-miR-4789-3p	MLLT3	-1
hsa-miR-4789-3p	PCDH18	-1
hsa-miR-4789-3p	SESN3	-1
hsa-miR-4789-3p	STK3	-1
hsa-miR-4789-3p	DLC1	-1
hsa-miR-4789-3p	THBS2	-1
hsa-miR-4789-3p	CREB1	-1
hsa-miR-4789-3p	KLHL23	-1
hsa-miR-4789-3p	NR1D2	-1
hsa-miR-4789-3p	SSBP2	-1
hsa-miR-4789-3p	TGFB2	-1
hsa-miR-4789-3p	ANO5	-1
hsa-miR-4789-3p	CASZ1	-1
hsa-miR-4789-3p	PNRC1	-1
hsa-miR-4789-3p	TMPRSS12	-1
hsa-miR-4789-3p	TMEM196	-1
hsa-miR-4789-3p	FMNL2	-1
hsa-miR-4789-3p	HDGFL3	-1
hsa-miR-4789-3p	KRTAP24-1	-1
hsa-miR-4789-3p	SOCS6	-1
hsa-miR-4789-3p	BAZ2B	-1
hsa-miR-4789-3p	PM20D2	-1
