TF	Gene	Input
ATF1	KCTD20	1
ATF1	PXT1	1
ATF1	C6orf89	1
ATF1	CMTR1	1
ATF1	BTBD9	1
ATF1	RP11-298J23.8	1
ATF1	FRS3	1
ATF1	PRICKLE4	1
ATF1	TOMM6	1
ATF1	RP11-298J23.9	1
ATF1	MED20	1
ATF1	BYSL	1
ATF1	TBCC	1
ATF1	GLTSCR1L	1
ATF1	RPL7L1	1
ATF1	MEA1	1
ATF1	KLHDC3	1
ATF1	TJAP1	1
ATF1	GTPBP2	1
ATF1	HSP90AB1	1
ATF1	CDC5L	1
ATF1	RP11-385F7.1	1
ATF1	CD2AP	1
ATF1	ELOVL5	1
ATF1	RP3-483K16.4	1
ATF1	DST	1
ATF1	PTP4A1	1
ATF1	RP5-1148A21.3	1
ATF1	LMBRD1	1
ATF1	RP11-462G2.1	1
ATF1	TTK	1
ATF1	CYB5R4	1
ATF1	RP11-63L7.5	1
ATF1	PNRC1	1
ATF1	MDN1	1
ATF1	BACH2	1
ATF1	MAP3K7	1
ATF1	UFL1	1
ATF1	UFL1-AS1	1
ATF1	ATG5	1
ATF1	RP11-697G4.4	1
ATF1	FOXO3	1
ATF1	AMD1	1
ATF1	CDK19	1
ATF1	RPF2	1
ATF1	REV3L	1
ATF1	TRAF3IP2-AS1	1
ATF1	TSPYL4	1
ATF1	DSE	1
ATF1	FAM184A	1
ATF1	SERINC1	1
ATF1	PKIB	1
ATF1	RP3-425C14.5	1
ATF1	HINT3	1
ATF1	CENPW	1
ATF1	HBS1L	1
ATF1	CTA-212D2.2	1
ATF1	AHI1	1
ATF1	LINC00271	1
ATF1	MTFR2	1
ATF1	IFNGR1	1
ATF1	RP11-356I2.4	1
ATF1	RP3-509I19.11	1
ATF1	CCDC28A	1
ATF1	HECA	1
ATF1	HIVEP2	1
ATF1	RP11-439L18.1	1
ATF1	RP1-45I4.2	1
ATF1	SF3B5	1
ATF1	PPIL4	1
ATF1	RP11-244K5.6	1
ATF1	CNKSR3	1
ATF1	AGPAT4	1
ATF1	PACRG	1
ATF1	PARK2	1
ATF1	RPS6KA2	1
ATF1	WDR27	1
ATF1	C6orf120	1
ATF1	TCTE3	1
ATF1	ERMARD	1
ATF1	PSMB1	1
ATF1	TBP	1
ATF1	PPP2R3B	1
ATF1	ARSD-AS1	1
ATF1	ARSD	1
ATF1	PNPLA4	1
ATF1	TBL1X	1
ATF1	GEMIN8	1
ATF1	SYAP1	1
ATF1	EIF1AX	1
ATF1	KLHL15	1
ATF1	EIF2S3	1
ATF1	POLA1	1
ATF1	TAB3	1
ATF1	DYNLT3	1
ATF1	RP11-320G24.1	1
ATF1	USP9X	1
ATF1	USP11	1
ATF1	SYN1	1
ATF1	UXT	1
ATF1	UXT-AS1	1
ATF1	ZNF182	1
ATF1	SPACA5	1
ATF1	TBC1D25	1
ATF1	RBM3	1
ATF1	RP11-1148L6.9	1
ATF1	RP11-1148L6.8	1
ATF1	MRPL32P1	1
ATF1	OTUD5	1
ATF1	TFE3	1
ATF1	HUWE1	1
ATF1	PHF8	1
ATF1	LAS1L	1
ATF1	AL590763.5	1
ATF1	OGT	1
ATF1	MAGT1	1
ATF1	GLA	1
ATF1	HNRNPH2	1
ATF1	ARMCX3	1
ATF1	ARMCX3-AS1	1
ATF1	BEX5	1
ATF1	LINC00630	1
ATF1	TCEAL8	1
ATF1	MORF4L2	1
ATF1	MORF4L2-AS1	1
ATF1	SLC25A53	1
ATF1	ALG13	1
ATF1	SLC25A5-AS1	1
ATF1	SLC25A5	1
ATF1	CXorf56	1
ATF1	SEPT6	1
ATF1	CTA-38K21.2	1
ATF1	CUL4B	1
ATF1	MCTS1	1
ATF1	STAG2	1
ATF1	RP1-315G1.3	1
ATF1	UTP14A	1
ATF1	FAM122C	1
ATF1	MMGT1	1
ATF1	LINC00893	1
ATF1	CXorf40A	1
ATF1	CXorf40B	1
ATF1	LINC00894	1
ATF1	MTMR1	1
ATF1	SSR4	1
ATF1	IDH3G	1
ATF1	HCFC1	1
ATF1	TMEM187	1
ATF1	RPL10	1
ATF1	XX-FW83563B9.5	1
ATF1	SLC10A3	1
ATF1	MPP1	1
ATF1	FUNDC2	1
ATF1	F8	1
ATF1	VAMP7	1
ATF1	U2AF1	1
ATF1	BTG3	1
ATF1	LTN1	1
ATF1	USP16	1
ATF1	RP1-100J12.1	1
ATF1	RP11-313P22.1	1
ATF1	LINC00649	1
ATF1	RCAN1	1
ATF1	CBR3-AS1	1
ATF1	SH3BGR	1
ATF1	LINC00111	1
ATF1	ZBTB21	1
ATF1	ZNF295-AS1	1
ATF1	ABCG1	1
ATF1	WDR4	1
ATF1	NDUFV3	1
ATF1	HSF2BP	1
ATF1	RRP1B	1
ATF1	RRP1	1
ATF1	TRAPPC10	1
ATF1	C21orf2	1
ATF1	AP001062.9	1
ATF1	AL133493.2	1
ATF1	PRMT2	1
ATF1	SUN1	1
