Pathway	Gene	Correlation
Neutrophil extracellular trap formation	PRKCB	1
Neutrophil extracellular trap formation	FCGR2A	1
Neutrophil extracellular trap formation	FCGR3A	1
Neutrophil extracellular trap formation	FPR1	1
Neutrophil extracellular trap formation	FPR3	1
Neutrophil extracellular trap formation	PLCB2	1
Neutrophil extracellular trap formation	RELA	1
Neutrophil extracellular trap formation	CLEC7A	1
Neutrophil extracellular trap formation	PLCG2	1
Neutrophil extracellular trap formation	NCF1	1
Neutrophil extracellular trap formation	NCF2	1
Neutrophil extracellular trap formation	TLR2	1
Neutrophil extracellular trap formation	AQP9	1
Neutrophil extracellular trap formation	NCF4	1
Neutrophil extracellular trap formation	NFKB1	1
Neutrophil extracellular trap formation	CYBB	1
Neutrophil extracellular trap formation	PIK3CD	1
Neutrophil extracellular trap formation	RAC2	1
Neutrophil extracellular trap formation	C3	1
Neutrophil extracellular trap formation	ITGAL	1
Neutrophil extracellular trap formation	ITGAM	1
Neutrophil extracellular trap formation	SELPLG	1
Neutrophil extracellular trap formation	C5AR1	1
Neutrophil extracellular trap formation	ITGB2	1
Toll-like receptor signaling pathway	CTSK	1
Toll-like receptor signaling pathway	IFNAR2	1
Toll-like receptor signaling pathway	CD14	1
Toll-like receptor signaling pathway	RELA	1
Toll-like receptor signaling pathway	MYD88	1
Toll-like receptor signaling pathway	CXCL8	1
Toll-like receptor signaling pathway	CXCL9	1
Toll-like receptor signaling pathway	TLR2	1
Toll-like receptor signaling pathway	CD40	1
Toll-like receptor signaling pathway	SPP1	1
Toll-like receptor signaling pathway	NFKB1	1
Toll-like receptor signaling pathway	NFKBIA	1
Toll-like receptor signaling pathway	MAP3K8	1
Toll-like receptor signaling pathway	CD86	1
Toll-like receptor signaling pathway	IRF5	1
Toll-like receptor signaling pathway	IL1B	1
Toll-like receptor signaling pathway	PIK3CD	1
Toll-like receptor signaling pathway	CCL4	1
Toll-like receptor signaling pathway	CCL5	1
C-type lectin receptor signaling pathway	FCER1G	1
C-type lectin receptor signaling pathway	ITPR1	1
C-type lectin receptor signaling pathway	RELA	1
C-type lectin receptor signaling pathway	CD209	1
C-type lectin receptor signaling pathway	CLEC7A	1
C-type lectin receptor signaling pathway	PLCG2	1
C-type lectin receptor signaling pathway	NFATC1	1
C-type lectin receptor signaling pathway	NFKB1	1
C-type lectin receptor signaling pathway	MAP3K14	1
C-type lectin receptor signaling pathway	NFKBIA	1
C-type lectin receptor signaling pathway	LSP1	1
C-type lectin receptor signaling pathway	MRAS	1
C-type lectin receptor signaling pathway	PPP3CC	1
C-type lectin receptor signaling pathway	STAT2	1
