Ensembl_ID	TCGA-L5-A4OG-01A	TCGA-JY-A6FB-01A	TCGA-V5-A7RE-01A	TCGA-L5-A43E-01A	TCGA-LN-A49M-01A	TCGA-KH-A6WC-01A	TCGA-2H-A9GJ-01A	TCGA-L5-A893-01A	TCGA-LN-A7HV-01A	TCGA-L5-A4OH-01A	TCGA-IC-A6RF-01A	TCGA-JY-A93F-01A	TCGA-LN-A4A9-01A	TCGA-L5-A4OJ-01A	TCGA-LN-A5U7-01A
ACAD8	2.136812672	1.84590211	1.984610206	2.017006426	0.957874617	1.36206478	1.592873628	1.756282706	2.148986539	2.38364404	2.082084268	1.433578248	1.728631414	2.231746815	0.896234255
ACAD9	3.200542134	3.487705678	3.649457562	3.270271121	3.412874347	3.65148774	3.502617749	3.505728287	4.268546216	3.01517565	4.144474041	3.386345577	3.729226261	3.309449309	4.102696563
ACADM	2.92269518	3.316064089	2.159383511	3.043402369	3.059210501	3.66745796	3.442252498	3.192629203	2.325562907	2.970014328	3.044127252	2.577371316	2.473207209	3.406528882	2.555258889
ACADS	2.971616658	3.389971534	3.360338304	3.768461314	2.356271077	1.985268534	3.189400898	4.392196491	3.213254455	2.850052119	2.60739908	2.516586843	2.624883382	4.285637159	2.016113207
ACADSB	2.809941992	2.233754535	1.758818898	2.10551373	0.705343106	1.92845201	2.173532537	2.366002315	1.363764082	2.002774161	3.852617672	1.061073957	1.470051995	2.627120476	1.254182795
ACADVL	5.29633378	5.503101355	4.98523511	5.270368705	5.079872446	5.674622272	5.410870414	5.568444975	4.468795213	5.371400324	5.248196595	4.999584069	4.333793888	5.714286807	4.438832223
ACAN	1.878792709	2.395079478	0.740483495	0.450317958	0.356274111	0.034486707	0.170124979	0.132821486	0.11573059	0.337288237	0.162589898	0.322530082	0.239742108	1.62208976	0.644622316
ACAP1	1.174995869	0.446684918	0.443452317	0.823344726	1.046731519	0.795713855	0.450290583	1.688425125	0.99729072	0.738826349	1.758915326	0.87106801	1.92008862	0.744468963	0.840329995
ACAP2	3.442509042	2.759350722	2.54300469	3.739540645	3.824881909	3.785041057	3.770800205	3.153106057	3.024084666	3.237983076	3.133209701	3.076026861	3.53637623	2.931090889	4.755610056
ACAP3	2.394837773	2.60268471	2.131508806	2.579371096	4.102614475	3.836584135	2.568213859	3.486894756	2.383609028	3.481994513	2.525742463	3.714893664	4.011377558	2.514028817	3.108956108
ACAT1	3.652377723	3.063016685	2.53601529	1.928691639	1.997839453	2.113909661	2.503587787	2.210231331	2.433653169	3.857841949	2.327046195	2.286632449	1.747311227	3.543105725	1.935071956
ACAT2	2.019638918	2.960986841	3.454769542	1.606426609	3.817976375	3.190096913	2.3894946	2.883007597	5.045198126	2.876309235	1.558692407	0.124139263	1.378278907	2.075116626	2.997932079
ACBD3	5.225224018	4.913215456	4.361920006	4.808400952	4.672689578	4.387244846	4.42357885	4.775664274	4.005480262	5.188779735	4.105717558	4.943273491	4.680113882	4.426251318	4.754928725
ACBD4	1.697395669	1.175071182	2.934090905	2.144249462	0.46037591	1.06826462	2.141594763	1.614559533	1.020348652	2.350140143	1.422232016	0.381970334	1.022248839	1.922275802	0.946635161
ACBD5	3.354033241	4.030638317	3.630840887	3.956180978	3.301508112	2.705494789	4.95433616	3.763914391	3.19800024	4.592159775	2.989664701	2.883527342	2.319305623	4.511990324	3.023905674
ACBD7	0.204941259	1.276952303	1.129919175	0.516274033	0.366612654	0.106471698	0.409000854	1.208040525	0.250279669	0.725115267	0.31084636	0.067300867	0.032104431	0.361669419	0.472094739
ACCS	0.985115755	1.412969086	0.695580489	1.361049037	1.248681323	0.822159403	0.850965461	1.043568954	1.113623561	1.149121812	1.630380978	1.296467987	1.722424888	1.485447733	1.726185007
ACD	3.412988059	3.122014604	2.570742522	2.102864229	2.63556071	1.595509157	2.266704926	2.663009291	2.781574398	3.463637435	3.347887662	2.92702586	2.250946249	2.824538127	3.317910773
ACE	3.451264676	3.269999961	2.296905271	1.854028293	1.363888023	0.897426872	3.607396708	2.055227172	0.936721501	1.923390139	0.792413295	0.719421324	1.988378047	2.527066693	1.058348552
ACE2	1.115932531	0.204688801	2.802370051	2.178342847	0.193470741	1.372844167	4.603859886	2.878152665	1.529536432	2.787986095	0.844841928	0.352715743	0.880828384	2.580640828	0.757244716
ACER2	3.269022582	3.260789715	3.080510664	2.850969667	0.907888992	1.38108856	4.991445997	5.463808057	0.572576962	1.675694775	1.971877263	1.228052884	1.756937785	4.270696372	1.13810538
ACER3	3.796854825	3.348576025	2.836280637	2.6754991	2.222065546	2.858077328	2.554730395	2.98082097	2.929193081	3.283869767	3.015988661	3.088506855	2.414242747	3.219011884	2.6136007
ACHE	1.541261643	0.633562995	3.732134006	1.858289919	0.899496519	0.488359109	4.405032552	4.284243556	0.111114836	5.124935466	0.717740571	0.239069366	1.97518629	2.044235437	0.139636115
ACIN1	3.832136965	3.661343509	4.314986964	4.66635211	4.137500231	3.540206532	4.097848275	4.028512703	3.515007483	4.477283371	4.017094118	3.872135112	4.544386403	4.317438966	4.151451759
ACKR1	0.715449171	1.067125232	0.984428072	0.779165787	0.148013101	3.005026614	1.220704746	4.668244471	3.195795483	2.689700944	3.710712386	0.06702608	1.01177201	1.005400238	0.320638752
