Ensembl_ID	TCGA-BR-8680-01A	TCGA-IN-A7NR-01A	TCGA-CG-4440-01A	TCGA-R5-A7ZI-01A	TCGA-CG-4462-01A	TCGA-R5-A7O7-01A	TCGA-VQ-A8DZ-01A	TCGA-CG-5719-01A	TCGA-VQ-A8PQ-01A	TCGA-IN-7808-01A	TCGA-D7-A748-01A	TCGA-CG-4460-01A	TCGA-CG-4306-01A	TCGA-VQ-A8PJ-01A	TCGA-R5-A7ZF-01A	TCGA-CG-5724-01A	TCGA-CG-4465-01A	TCGA-BR-7957-01A	TCGA-BR-7196-01A	TCGA-CG-4301-01A	TCGA-CG-5722-01A	TCGA-BR-8289-01A	TCGA-CG-5716-01A	TCGA-CD-8529-01A
TUBA1C	5.766697737	6.188689644	6.033453427	6.001562078	4.740799293	5.645070839	6.394904631	5.228219185	3.976346496	4.828001618	5.208586282	5.40714363	5.541009765	5.989360719	6.416102673	6.47111573	5.715432392	5.261874578	5.806154826	5.314842472	5.825129738	6.48304158	6.438014222	5.622908451
TUBA3D	0.768806612	0.515531752	0.621436478	0.461603113	0.295236855	0.624666645	0.175335794	0.430127832	1.311812162	1.213213261	0.182736103	0.478808622	0.391198435	0.263874488	0.66436792	0.199978787	0.296069518	0.398439654	0.362603954	0.194660742	0.219620406	0.676055037	0.273206163	0.459907277
TUBA4A	5.004432692	5.470745848	5.403487298	3.462118238	3.593106153	4.773885537	4.01578365	4.063683406	4.624138155	5.04715278	3.619160592	4.480348252	4.257088778	3.968156459	3.838257736	6.292166761	4.679991893	3.729779556	3.447188524	4.327318022	3.31152013	3.507133286	5.725606223	3.665440043
TUBB	7.94907472	7.530428111	8.295381666	7.926601506	7.419511555	7.307492307	7.673607133	7.448198581	7.155698817	7.216632458	7.522728622	8.24353211	7.420216592	7.841705488	8.019992925	8.236544588	7.676918355	7.742721165	7.70576664	7.325348235	7.936110458	8.420621641	7.834218826	7.464657492
TUBB2A	1.329570343	4.549390194	3.700643416	3.189309611	3.836486247	3.666628238	4.370202506	3.595568607	2.590964942	2.781888432	3.892740876	4.40994839	3.295137562	4.317750534	3.078826078	3.954042429	3.851313135	3.946897872	3.67122343	3.723631936	4.211566522	3.497978477	5.261591548	4.538676348
TUBB2B	0.221393803	0.923577131	0.556383123	0.35008961	0.617096976	2.138794961	0.985487903	0.76957754	0.908966635	1.327186575	0.516309268	4.27404341	0.214301733	0.308895768	2.50421151	1.185559156	0.642984661	1.366599634	1.368336569	0.661540266	2.15739285	0.84196756	2.073540225	2.893270034
TUBB4A	0.26928194	0.292115967	0.094505952	0.471271258	0.180469094	0.47003436	0.148799167	0.156255281	0.845456022	0.912970054	0.169303332	1.748055802	0.077119005	0.147898438	0.431854837	0.04493722	0.062720768	0.637760254	0.357327651	0.129645644	0.222532802	3.207427646	0.284374861	0.789639389
TUBB4B	8.268850037	7.018453857	7.63196692	7.322686548	6.500065965	8.066224772	8.012316316	7.308785505	6.31502351	7.670051695	7.150513943	7.165723903	7.123668358	7.302586161	8.080177144	8.229410953	7.258049906	6.967440533	7.390970185	7.405931795	7.210527406	7.273117074	8.556371432	6.960775182
TUBB6	2.591222753	4.222805852	3.379083964	3.953978968	4.533308314	3.012922237	3.166434247	4.418682508	3.274213686	2.925304157	3.98902927	3.265484471	2.816608554	3.399610736	3.218183644	4.995356284	2.773062928	4.560323875	4.418803732	3.052357094	3.099172829	4.268649064	2.67815961	4.109999624
TUBD1	1.802630194	1.796357484	1.331899116	1.889154296	1.432428661	2.015947206	1.814353549	1.5116826	1.985457772	2.13905499	1.335030164	1.895236534	1.486705196	1.734449669	1.896907966	1.427835824	1.758682513	1.207813093	1.693812668	1.593815484	1.653621334	1.964955622	1.271453031	1.295106142
TUBE1	1.532537246	1.257728005	2.137823768	1.435234753	1.569543562	1.873664844	1.281091728	0.842524025	1.793806318	2.189434664	0.903308776	1.537647877	1.896475394	1.838832163	2.752719749	1.229331998	1.431151776	1.583506654	1.497043582	1.941542988	1.458608619	1.822369365	1.229097061	0.814242656
TUBG1	4.487061324	4.287137957	5.581472495	4.805483728	4.048216158	4.833094627	4.829523856	4.731797272	3.444827318	3.824890558	4.30543614	5.175759299	4.532610297	4.321290356	5.574556364	5.441546904	4.622942266	4.137190831	4.570748099	4.115434661	5.050443843	4.874316334	5.201976883	4.717076533
TUBG2	1.795087408	2.452459523	3.140112829	1.908197803	2.115122831	2.477257396	2.638750685	2.27084196	2.324281945	2.419405314	2.060796251	2.966850834	1.494034529	2.397606942	2.647490129	2.172355878	1.417807373	2.135675556	2.629673661	2.32536034	2.119703252	3.216839221	2.044377005	2.154774233
