Ensembl_ID	TCGA-L5-A4OI-01A	TCGA-L7-A6VZ-01A	TCGA-JY-A93D-01A	TCGA-VR-A8EX-01A	TCGA-L5-A8NF-01A	TCGA-L5-A8NH-01A	TCGA-L5-A4OT-01A	TCGA-2H-A9GO-01A	TCGA-VR-A8EU-01A	TCGA-VR-A8EZ-01A	TCGA-LN-A5U5-01A	TCGA-L5-A4OO-01A
LNX2	3.993568777	2.903723027	3.864016792	3.030515047	4.776153554	3.634612259	3.908739421	3.733149882	2.629245062	2.142378922	2.866517108	3.404019561
LONP1	4.367748462	3.722340098	3.645871589	4.386405562	3.998386043	4.027822817	4.075595346	3.359578117	4.076924839	4.551908721	3.527266304	3.318666535
LONP2	3.251232867	1.509445745	3.855284499	3.076073227	4.200845778	3.436481051	2.70653409	2.750666757	3.158603891	2.809391328	3.516671531	3.273172775
LONRF1	1.938126356	1.585537105	3.087079278	2.486812746	1.936572972	1.939284034	3.846781987	3.060109139	1.716748779	2.978667655	2.307289983	2.43137217
LONRF3	1.436674638	2.353590048	2.137249921	0.164972293	2.480560144	2.515930133	3.312231283	2.870364955	0.114474691	0.050680285	0.776909244	1.463382727
LOX	1.529963017	2.381761553	4.157077605	4.259612341	1.657395192	2.458274681	3.395995141	1.702204302	4.176785619	2.839246653	5.00806094	3.783377531
LOXHD1	0.012921575	0.00176557	0.047125512	0.002897082	0.051588861	0.109391158	0.057456839	0.051777473	0.04415223	0.010465812	0.005976316	0.068838993
LOXL1	2.350796701	2.810069778	4.799964497	2.276084594	2.195802939	1.509629936	4.269418091	2.889802743	2.515970012	4.469573693	1.703993032	4.814212473
LOXL2	2.250855333	3.198044857	3.73999829	2.492860761	3.171529521	3.085352885	4.654576783	2.904785996	3.283669676	3.686817693	2.393904702	3.97877725
LOXL3	0.790031862	0.773027348	1.748000172	0.669125475	0.718982876	0.915097427	1.493105039	0.935031917	0.856589709	1.314489761	0.538018265	1.474767022
LOXL4	0.466857886	0.294870113	1.082715885	0.913404705	1.201448327	0.336573695	0.981536397	0.203456275	0.599532466	1.915384915	0.81992889	3.993393291
LPAR1	0.252438613	1.962536822	3.59574459	1.440046827	3.257038394	0.828860251	3.000394069	2.442328461	1.561391167	2.409778772	4.830481825	1.9046033
LPAR2	3.222333657	2.967168196	2.543191493	3.304966608	3.291015151	3.196181535	2.972205082	3.650555542	3.012275281	3.852293971	3.579704263	4.360866229
LPAR4	0.014965619	0.079662245	0.649399455	0.065703346	0.103960301	0.073211803	0.305038351	0.203208532	0.084106682	0.34006175	0.089699189	0.350893474
LPAR5	5.400471313	3.225517644	2.265037419	3.491985163	3.366648918	3.463629973	1.703880271	2.794923439	3.311442873	2.86652741	1.271172762	3.200621495
LPAR6	0.782768858	1.527269325	3.119327635	3.77366917	2.036604627	2.54794294	2.79852555	2.518462859	3.117884375	1.781478723	3.14673751	3.633944119
LPCAT1	5.741182863	4.031397557	3.399595624	2.01153885	3.239492894	4.707559996	3.095587383	2.642065269	4.219392431	3.565208769	3.292840883	3.010062034
LPCAT2	2.700009857	2.166007244	3.487402211	2.676126273	2.912197567	2.589851958	2.214221395	1.987474244	2.615492784	2.482548745	3.414435152	2.794742413
LPCAT3	3.910277483	4.794284633	2.524567299	2.502374322	4.56663163	3.403529182	2.953287557	3.729256854	3.586070265	3.309978213	3.143586214	2.951014405
LPCAT4	4.601594015	4.58634531	3.133037741	3.079035814	4.289677745	4.603636737	3.073547299	3.814707169	3.29532857	2.898473242	3.65734396	5.165030558
LPGAT1	4.977432205	3.218410816	4.200034933	2.765665203	3.412197237	4.223774051	4.093729796	3.312370449	3.30925755	2.523144546	3.84500932	3.717970788
LPIN1	3.780400556	2.521520995	2.92332586	2.658808092	2.45125721	3.016477237	2.608373237	1.859181016	1.627018767	2.074662585	1.131693312	2.786407258
LPIN2	4.235825231	6.008241795	4.379760805	1.909590413	4.864511818	4.69282323	5.947383561	6.02422307	1.799594774	1.51702279	2.445520201	4.711094774
LPIN3	3.464245807	3.918917608	3.180602332	2.62928209	3.625810154	3.080219733	2.749687849	3.140522638	2.096895112	3.093943691	1.732888231	3.558015006
LPL	0.430992053	1.407917126	2.25070693	0.286049441	1.689876471	1.161851085	2.839754077	0.713120438	1.491841199	0.496348007	0.351940595	1.247843928
LPP	3.34487849	3.604181042	4.593603348	2.688593459	4.766162776	3.45734296	4.259831733	4.125241309	4.168982916	2.860456279	4.218274905	4.112202019
LPXN	1.820846509	1.412005423	3.68778967	2.554034027	1.814745279	2.381020745	2.657815906	1.593773771	1.943382274	1.698995608	2.130763603	3.137960792
LRBA	3.391365231	2.782811039	3.286298804	2.675532646	3.528315568	3.759487823	2.894359499	2.446540034	1.317989938	2.445322299	1.90707726	2.90062835
LRCH1	3.886680424	1.647498915	3.200101802	1.603918621	2.799132827	2.986940728	2.880893448	1.661547536	1.830866506	1.332792981	2.081224982	2.866122383
LRCH2	0.157364425	0.207421358	1.634417289	0.10241612	0.493708062	0.304741632	1.187298015	0.168881964	0.279699545	0.434821574	0.521579137	1.290350526
LRCH3	2.251724794	2.105185457	2.57873385	1.578626848	2.111824895	1.739176469	2.093998549	2.514641522	2.809063041	2.217771354	2.421635475	2.407500175
LRCH4	2.208519254	2.596414478	2.08581943	1.453868865	3.349131784	1.888874993	2.193938515	2.648735968	1.490356011	1.369974317	1.123726866	2.246794214
LRFN1	0.067644402	0.139173837	0.783038919	2.014588414	0.270696992	0.216888525	0.900839584	2.156166004	1.896913048	1.675770059	0.929343628	1.603624546
LRFN3	4.287017779	3.544886096	3.005230804	3.570096971	2.147557272	2.895756019	2.428217203	1.870900755	3.03834968	2.782128207	0.773861823	3.298026793
LRFN4	4.738132574	4.027037879	3.155305929	3.551662445	4.503044089	4.485440982	3.412129909	3.411466963	3.823223101	4.186467772	3.935794217	4.207230529
LRG1	3.35055272	2.49918939	1.941786462	3.792767956	4.167247202	3.61071557	3.633819628	3.504301124	0.742583774	0.138309672	2.405552341	2.483479202
LRGUK	0.367075485	0.222288179	0.318713664	0.2972545	0.463639182	0.181782875	0.255038693	0.153567297	0.566268471	0.280075143	0.480956476	0.825890116
LRIF1	0.259686628	2.763331674	2.773735072	1.486773464	2.804337618	1.760913966	2.922624767	2.649891767	1.781020945	2.504767962	1.628636119	3.306050567
LRIG1	3.304037001	3.750341183	4.240904692	2.728152617	4.598041908	2.957887194	4.339412498	2.938755777	1.665199901	2.885894449	3.937808932	3.571941753
LRIG2	2.2946651	1.640833654	2.46449495	1.46915029	2.403432267	1.929462456	2.001890659	2.233775842	1.808736386	1.743426901	1.491394895	2.065964591
LRIG3	3.591577886	2.905121233	3.842786095	3.188962467	4.01986582	3.361149379	3.648013655	2.650188846	2.77197465	2.629114268	3.217245145	2.745002074
LRP1	3.012341596	4.108158052	6.143371692	4.30789998	5.307034816	4.245731952	5.060128357	3.685218553	4.376240361	3.780495136	3.290031181	4.889251594
LRP10	6.299638371	6.20378964	5.420837688	5.829725272	5.300976247	6.056721611	5.901299983	4.969661426	5.231114125	4.5130388	4.969954779	5.644297752
LRP11	3.476989846	4.772399512	3.766069274	4.470999649	4.375295924	3.728733578	4.022062947	4.789154038	4.259567678	4.78384643	5.58127011	4.464174238
LRP12	0.169287365	0.20053597	1.28756752	0.914250214	0.44324602	0.382329523	1.493284772	0.688521487	2.871014229	2.253049918	2.652188625	0.879033231
LRP2BP	0.491345085	0.227844715	0.575475979	0.283076986	0.340096894	0.299057139	0.581261333	0.354218965	0.262433067	0.425069562	0.153053848	0.43408294
LRP3	0.467030825	0.646919214	2.723737518	2.883748257	2.248414497	0.830272388	2.35411912	1.686157263	2.478121354	3.104712839	2.878113737	3.829949955
LRP4	2.98877526	1.220982099	2.321025228	2.135345594	1.307637433	1.833906716	2.082438701	0.597860843	1.443800447	0.95461641	2.877465759	0.979230115
LRP5	4.837931118	5.042678922	4.994702768	4.338944774	7.277043599	5.539778288	4.986893175	4.151308127	3.410675664	4.080608248	4.96730075	4.850088239
LRP5L	1.591289597	0.897833116	1.186624639	1.061212049	1.169666034	1.491424966	1.54854201	1.339083762	0.5860325	1.15786023	0.759776497	1.637061816
LRP6	3.384412326	2.686560401	3.139319234	1.586447886	3.726222396	2.778357673	2.986601207	2.665969363	1.822179227	1.966129522	2.334790085	2.261669418
LRP8	3.071194759	1.273229194	1.088642063	1.598057582	1.395764739	2.540885397	0.87133915	0.643667584	2.265285754	3.33662931	3.307091095	2.140150776
LRPAP1	3.413528516	4.036919316	3.084235912	3.078731758	3.28283937	3.063275302	2.986750435	3.727533959	2.499004601	3.879419135	4.251200494	3.678576713
LRPPRC	4.992046435	4.946978691	4.438390254	4.305537931	4.317055611	5.04306314	5.178813975	4.927762128	4.172335373	5.144462999	4.817469674	3.147760066
LRR1	2.352597511	2.028894943	2.096909117	2.45644623	2.286963507	2.510371296	2.161330776	2.987531287	2.531423168	3.583189153	2.879601129	1.954468618
LRRC1	4.096283146	4.20140345	3.556335231	3.601365753	3.324695819	4.137663338	3.529083503	3.709995186	3.362733759	2.268039592	3.077170354	3.069382694
LRRC10B	0.178434827	0.162807979	0.617065501	0.166797693	0.332248868	0.2724429	0.346335179	0.38114729	0.116653232	0.921268994	0.116854532	0.499655817
LRRC14	3.370870009	3.185939929	2.496067267	2.493221274	2.203419948	2.7728467	2.51021314	3.025099363	2.447646365	2.806465606	2.301517095	2.977638748
LRRC15	0.595456518	0.32526209	2.33621115	0.081333821	0.440457224	0.582420515	2.98890458	0.229478042	2.315433257	2.038760439	0.076736914	3.188737303
LRRC17	0.320605886	0.343116725	1.964198579	0.242542703	0.983546219	0.176997241	0.657714351	0.887232857	2.073750334	1.41951666	0.757695323	2.293257928
LRRC19	0.866296786	0.464150663	0.258401561	0.170691432	0.533426585	0.9786146	0.096135457	0.253917316	0.067751871	0.380802974	0.304699655	0.471757898
LRRC20	1.892678994	2.44023825	1.932302409	1.680669338	2.472031267	2.286558316	1.581628299	1.807530794	1.409818654	2.319868175	2.625592037	2.319844907
LRRC23	1.0594514	1.343181287	0.723183786	1.673880675	2.63469831	0.629422507	0.964531091	0.858608784	1.442394749	2.279011674	1.216670875	1.651273902
LRRC25	0.588846165	0.940587132	2.974607973	0.602207102	0.7867633	1.023139263	1.893467266	0.45464814	1.724594334	1.580415276	1.36237914	2.124900646
LRRC27	0.711132258	0.642129339	0.599462562	0.301422291	1.025387001	0.586778156	0.425882072	0.494279177	0.239388799	0.518102996	0.316825609	0.982698013
LRRC28	1.261564823	1.832555247	1.488551218	1.888461563	1.470381239	1.601820025	1.387638771	1.49658138	1.482269537	1.657361724	1.603652257	1.370121655
LRRC29	0.460305191	0.534644717	0.80077705	0.963118566	1.282782218	0.471295535	0.40243367	0.357239495	0.796667755	1.021065471	0.748708995	0.864040366
LRRC3	1.954578733	0.652717409	1.026348676	0.445146184	0.491235871	0.506441595	0.630973621	1.167064676	2.179461265	1.18199804	1.135705501	1.082922464
LRRC32	2.249854746	1.974683675	5.669154943	0.822539808	2.738480625	3.08041726	4.562268388	1.764288771	2.077615095	2.661212278	2.302356811	4.299830389
LRRC34	0.349762561	1.740147543	0.512550349	0.242626221	0.459571003	0.321071296	0.335389072	0.27922375	0.088533019	0.144823353	0.279228511	0.364870913
LRRC37A	0.312643222	0.226228591	0.183978024	0.137932204	0.422981008	0.116768994	0.237621943	0.255317166	0.224335922	0.170138752	0.379823322	0.524604483
LRRC37A2	0.968002675	0.781870848	0.964294166	0.826123464	1.739478581	0.753925718	1.288835992	1.307890173	1.059841392	0.786725281	0.888802671	1.58282439
LRRC37A3	1.597595504	0.970738659	0.873451424	0.34540793	0.788276689	0.70028253	0.742597552	1.266960215	0.637402979	1.128339088	0.495679516	0.832242188
LRRC37B	1.105993505	1.10085243	1.662334111	0.906634424	1.144820181	1.035532005	1.639275904	1.270889781	1.212645141	1.095977187	1.044805205	1.379921671
LRRC39	0.315628175	0.551890154	0.642181121	0.285176248	0.915719033	0.787653976	0.705837919	1.078283172	0.311917566	0.178794934	0.574298612	0.713369982
LRRC4	0.249753294	0.430354179	0.507551109	5.369368828	0.217510167	0.431899169	0.464068186	0.29914288	2.029426637	2.523072606	1.369214641	0.789236476
LRRC40	3.169430737	2.78378268	2.895962071	3.014177243	2.902253005	3.076272767	2.823105401	3.200359807	3.207671858	3.297958079	3.244552663	2.658014717
LRRC41	3.563557698	3.068916515	3.215048467	3.476056031	3.959483554	3.365261253	2.961747438	2.932428627	3.291738678	3.706069611	3.86765351	3.362560835
LRRC42	3.397646731	2.992576722	2.827460887	3.861601427	3.179277063	2.974697476	2.905488995	3.093147364	3.909709829	3.655766387	3.759472122	3.276495263
